name,civs,tooltip,affects,food,wood,metal,research_s
Emperor of Emperors,maur,+10% maximum population limit.,,0,0,0,0
Wicker Baskets,maur,Workers +50% fruit gather rate.,Worker,0,100,0,40
Wooden Walls,maur,City Walls -20% build time and -20% health.,Wall,0,0,0,0
Fertilizer,ptol,Workers +20% grain gather rate.,Worker,0,400,300,60
Gather Training,ptol,Workers +20% grain gather rate.,Worker,0,300,200,50
Juggernauts,ptol,"Warships +25% health, but -10% speed.",Warship,0,500,300,40
Pharaonic Cult,ptol,Heroes +2 health/second self-regen rate.,Hero,300,0,200,50
Serapis Cult,ptol,+2.0 metal trickle per second.,Player,300,0,300,60
Sun-dried Mud Bricks,ptol,"Houses and Economic Structures -40% wood cost, health, and capture points as well as +50% build time.","Economic !CivCentre !Naval, House",0,0,0,0
Legionary Engineers,rome,Siege Catapults and Onagers 10% faster fire rate and +20% movement speed.,StoneThrower,0,0,0,0
Marian Reforms,rome,"Convert Infantry to Marian Legionaries, and cavalry to Auxiliaries, and citizen spearmen to conscript infantry. Unlock Onagers and Centurions.","Structure, Soldier !Auxiliary",1000,0,800,60
Roman Roads,rome,All Land Units +5% movement speed.,Unit !Ship,0,0,0,60
Fertile Crescent,sele,Farms -25% wood cost and -75% build time.,Field,0,0,0,0
Parade of Daphne,sele,Champions -20% training time.,Champion,500,0,300,60
Reform Army,sele,Unlock the Champion Infantry Swordsman.,,0,0,0,0
Traditional Army,sele,Unlock the Champion Infantry Pikeman.,,0,0,0,0
Helot Economy,spart,"Infantry Javelineers +100% grain gather rate, but -10% ranged attack pierce damage.",Infantry Javelineer,200,200,0,40
Krypteia,spart,"Champion Hoplites +10% melee attack damage, but Citizen Infantry Javelineers +30% training time.",,200,0,200,50
The Agoge,spart,"Champion Hoplites +25% health, but +5% training time.",Champion Infantry Spearman,500,0,200,60
Tyrtean Paeans,spart,Champion Hoplites +10% movement speed.,Champion Melee Infantry !Hero,200,0,100,30
Unlock Neodamodes,spart,Unlock the ability to train Spearman Neodamodes at the Barracks.,,500,0,0,60
